,force,rate_s,rate
90,2.7272727272727275,115.29704635664174,1.1529704635664174e-10
91,2.757575757575758,120.9838143508627,1.209838143508627e-10
92,2.787878787878788,126.95106941081514,1.2695106941081514e-10
93,2.8181818181818183,133.21264593138278,1.3321264593138277e-10
94,2.8484848484848486,139.7830606579213,1.397830606579213e-10
95,2.878787878787879,146.67754634166425,1.4667754634166426e-10
96,2.909090909090909,153.91208705510545,1.5391208705510544e-10
97,2.9393939393939394,161.50345524923335,1.6150345524923337e-10
98,2.9696969696969697,169.46925063853155,1.6946925063853156e-10
99,3.0,177.82794100389228,1.778279410038923e-10
